event_time,event_time_formatted,code,value,status,event_from,event_id
1766689829488,2025-12-25 14:10:29,liquid_level_percent,59,1,1,7
1766689828415,2025-12-25 14:10:28,liquid_level_percent,60,1,1,7
1766689827336,2025-12-25 14:10:27,liquid_level_percent,59,1,1,7
1766689826180,2025-12-25 14:10:26,liquid_level_percent,60,1,1,7
1766689826166,2025-12-25 14:10:26,liquid_depth,72,1,1,7
1766689823952,2025-12-25 14:10:23,liquid_level_percent,59,1,1,7
1766689823939,2025-12-25 14:10:23,liquid_depth,71,1,1,7
1766689822874,2025-12-25 14:10:22,liquid_level_percent,60,1,1,7
1766689822860,2025-12-25 14:10:22,liquid_depth,72,1,1,7
1766689820718,2025-12-25 14:10:20,liquid_level_percent,59,1,1,7
1766689820703,2025-12-25 14:10:20,liquid_depth,71,1,1,7
1766689819554,2025-12-25 14:10:19,liquid_level_percent,60,1,1,7
1766689819540,2025-12-25 14:10:19,liquid_depth,72,1,1,7
1766689816256,2025-12-25 14:10:16,liquid_level_percent,59,1,1,7
1766689816242,2025-12-25 14:10:16,liquid_depth,71,1,1,7
1766689815178,2025-12-25 14:10:15,liquid_level_percent,60,1,1,7
1766689814018,2025-12-25 14:10:14,liquid_depth,72,1,1,7
1766689811802,2025-12-25 14:10:11,liquid_level_percent,59,1,1,7
1766689811788,2025-12-25 14:10:11,liquid_depth,71,1,1,7
1766689810725,2025-12-25 14:10:10,liquid_level_percent,60,1,1,7
1766689809640,2025-12-25 14:10:09,liquid_depth,72,1,1,7
1766689808499,2025-12-25 14:10:08,liquid_level_percent,59,1,1,7
1766689808485,2025-12-25 14:10:08,liquid_depth,71,1,1,7
1766689806351,2025-12-25 14:10:06,liquid_level_percent,60,1,1,7
1766689806337,2025-12-25 14:10:06,liquid_depth,72,1,1,7
1766689805195,2025-12-25 14:10:05,liquid_level_percent,61,1,1,7
1766689805181,2025-12-25 14:10:05,liquid_depth,74,1,1,7
1766689804118,2025-12-25 14:10:04,liquid_level_percent,60,1,1,7
1766689802956,2025-12-25 14:10:02,liquid_depth,72,1,1,7
1766689801892,2025-12-25 14:10:01,liquid_level_percent,59,1,1,7
1766689801879,2025-12-25 14:10:01,liquid_depth,71,1,1,7
1766689800816,2025-12-25 14:10:00,liquid_level_percent,60,1,1,7
1766689799652,2025-12-25 14:09:59,liquid_depth,72,1,1,7
1766689798590,2025-12-25 14:09:58,liquid_level_percent,59,1,1,7
1766689798577,2025-12-25 14:09:58,liquid_depth,71,1,1,7
1766689797514,2025-12-25 14:09:57,liquid_level_percent,60,1,1,7
1766689796348,2025-12-25 14:09:56,liquid_depth,72,1,1,7
1766689795288,2025-12-25 14:09:55,liquid_level_percent,59,1,1,7
1766689795272,2025-12-25 14:09:55,liquid_depth,71,1,1,7
1766689794132,2025-12-25 14:09:54,liquid_level_percent,60,1,1,7
1766689793046,2025-12-25 14:09:53,liquid_depth,72,1,1,7
1766689791985,2025-12-25 14:09:51,liquid_level_percent,59,1,1,7
1766689791970,2025-12-25 14:09:51,liquid_depth,71,1,1,7
1766689790829,2025-12-25 14:09:50,liquid_level_percent,60,1,1,7
1766689789740,2025-12-25 14:09:49,liquid_depth,72,1,1,7
1766689788671,2025-12-25 14:09:48,liquid_level_percent,59,1,1,7
1766689788656,2025-12-25 14:09:48,liquid_depth,71,1,1,7
1766689787512,2025-12-25 14:09:47,liquid_level_percent,60,1,1,7
1766689786426,2025-12-25 14:09:46,liquid_depth,72,1,1,7
1766689785362,2025-12-25 14:09:45,liquid_level_percent,59,1,1,7
1766689785347,2025-12-25 14:09:45,liquid_depth,71,1,1,7
1766689784203,2025-12-25 14:09:44,liquid_level_percent,60,1,1,7
1766689783121,2025-12-25 14:09:43,liquid_depth,72,1,1,7
1766689780907,2025-12-25 14:09:40,liquid_level_percent,59,1,1,7
1766689780893,2025-12-25 14:09:40,liquid_depth,71,1,1,7
1766689779827,2025-12-25 14:09:39,liquid_level_percent,60,1,1,7
1766689773154,2025-12-25 14:09:33,liquid_level_percent,59,1,1,7
1766689749955,2025-12-25 14:09:09,liquid_level_percent,60,1,1,7
1766689749942,2025-12-25 14:09:09,liquid_depth,72,1,1,7
1766689748878,2025-12-25 14:09:08,liquid_level_percent,61,1,1,7
1766689748864,2025-12-25 14:09:08,liquid_depth,74,1,1,7
1766689747800,2025-12-25 14:09:07,liquid_level_percent,59,1,1,7
1766689745560,2025-12-25 14:09:05,liquid_level_percent,60,1,1,7
1766689745546,2025-12-25 14:09:05,liquid_depth,72,1,1,7
1766689744484,2025-12-25 14:09:04,liquid_level_percent,61,1,1,7
1766689744470,2025-12-25 14:09:04,liquid_depth,74,1,1,7
1766689534611,2025-12-25 14:05:34,liquid_depth,71,1,1,7
1766689533538,2025-12-25 14:05:33,liquid_depth,70,1,1,7
1766689531319,2025-12-25 14:05:31,liquid_depth,71,1,1,7
1766689530248,2025-12-25 14:05:30,liquid_depth,70,1,1,7
1766689523583,2025-12-25 14:05:23,liquid_depth,71,1,1,7
1766689522513,2025-12-25 14:05:22,liquid_depth,70,1,1,7
1766689520291,2025-12-25 14:05:20,liquid_depth,71,1,1,7
1766689519136,2025-12-25 14:05:19,liquid_depth,70,1,1,7
1766689516916,2025-12-25 14:05:16,liquid_depth,71,1,1,7
1766689515847,2025-12-25 14:05:15,liquid_depth,70,1,1,7
1766689513625,2025-12-25 14:05:13,liquid_depth,71,1,1,7
1766689512554,2025-12-25 14:05:12,liquid_depth,70,1,1,7
1766689510332,2025-12-25 14:05:10,liquid_depth,71,1,1,7
1766689509262,2025-12-25 14:05:09,liquid_depth,70,1,1,7
1766689507040,2025-12-25 14:05:07,liquid_depth,71,1,1,7
1766689505890,2025-12-25 14:05:05,liquid_depth,70,1,1,7
1766689503670,2025-12-25 14:05:03,liquid_depth,71,1,1,7
1766689502602,2025-12-25 14:05:02,liquid_depth,70,1,1,7
1766689501530,2025-12-25 14:05:01,liquid_depth,71,1,1,7
1766689500381,2025-12-25 14:05:00,liquid_depth,70,1,1,7
1766689499310,2025-12-25 14:04:59,liquid_depth,71,1,1,7
1766689498161,2025-12-25 14:04:58,liquid_depth,70,1,1,7
1766689497091,2025-12-25 14:04:57,liquid_depth,71,1,1,7
1766689495943,2025-12-25 14:04:55,liquid_depth,70,1,1,7
1766689494871,2025-12-25 14:04:54,liquid_depth,71,1,1,7
1766689493802,2025-12-25 14:04:53,liquid_depth,70,1,1,7
1766689492652,2025-12-25 14:04:52,liquid_depth,71,1,1,7
1766689491581,2025-12-25 14:04:51,liquid_depth,70,1,1,7
1766689490431,2025-12-25 14:04:50,liquid_depth,71,1,1,7
1766689489361,2025-12-25 14:04:49,liquid_depth,70,1,1,7
1766689488211,2025-12-25 14:04:48,liquid_depth,71,1,1,7
1766689487141,2025-12-25 14:04:47,liquid_depth,70,1,1,7
1766689486071,2025-12-25 14:04:46,liquid_depth,71,1,1,7
1766689484921,2025-12-25 14:04:44,liquid_depth,70,1,1,7
1766689483856,2025-12-25 14:04:43,liquid_depth,71,1,1,7
1766689482705,2025-12-25 14:04:42,liquid_depth,70,1,1,7
1766689481635,2025-12-25 14:04:41,liquid_depth,71,1,1,7
